run_id,asset,timeframe,strategy,window_id,period,net_return_pct,max_drawdown_pct,trade_count,cost_drag_pct,passed
BTC_1d_breakout,BTC,1d,breakout,2,validation,-7.201072699396673,7.265638152822968,7,100.00000000000043,False
BTC_1d_breakout,BTC,1d,breakout,2,holdout,-0.2299271625896836,0.7498488605986113,1,100.00000000000104,True
BTC_1d_breakout,BTC,1d,breakout,3,validation,-8.210662880134612,8.210662880134612,6,99.99999999999986,False
BTC_1d_breakout,BTC,1d,breakout,3,holdout,-1.5462954287475783,2.875352253232529,2,100.00000000000068,True
BTC_1d_breakout,BTC,1d,breakout,4,validation,-5.480854043192437,5.586989986873738,4,99.99999999999727,False
BTC_1d_breakout,BTC,1d,breakout,4,holdout,-3.0914368933938476,5.221950286139644,3,100.00000000000016,True
BTC_1d_breakout,BTC,1d,breakout,5,validation,-0.2299271625896836,0.7498488605986113,1,100.00000000000104,False
BTC_1d_breakout,BTC,1d,breakout,5,holdout,-3.151004502404521,5.136656680990175,3,99.99999999999875,True
BTC_1d_breakout,BTC,1d,breakout,6,validation,-1.5462954287475783,2.875352253232529,2,100.00000000000068,False
BTC_1d_breakout,BTC,1d,breakout,6,holdout,2.476804116056087,3.03315753762704,1,100.00000000000608,True
BTC_1d_mean_reversion,BTC,1d,mean_reversion,0,validation,0.1580237723496566,3.1450684176031487,3,99.99999999999945,False
BTC_1d_mean_reversion,BTC,1d,mean_reversion,0,holdout,-2.1089802524313996,5.771105254080582,7,99.99999999999835,True
BTC_1d_mean_reversion,BTC,1d,mean_reversion,1,validation,2.7859979926999583,3.5088174179457248,1,100.00000000000104,False
BTC_1d_mean_reversion,BTC,1d,mean_reversion,1,holdout,-3.943037067503701,9.293283954765458,9,100.0000000000011,True
BTC_1d_mean_reversion,BTC,1d,mean_reversion,2,validation,-0.5207225022738271,2.851176635468063,5,99.99999999999848,False
BTC_1d_mean_reversion,BTC,1d,mean_reversion,2,holdout,-2.2458605749136153,5.227429971389365,7,100.00000000000088,True
BTC_1d_mean_reversion,BTC,1d,mean_reversion,3,validation,-2.1089802524313996,5.771105254080582,7,99.99999999999835,False
BTC_1d_mean_reversion,BTC,1d,mean_reversion,3,holdout,-7.93845171228179,10.036362203826387,7,99.99999999999946,False
BTC_1d_mean_reversion,BTC,1d,mean_reversion,4,validation,-3.943037067503701,9.293283954765458,9,100.0000000000011,False
BTC_1d_mean_reversion,BTC,1d,mean_reversion,4,holdout,-4.066436695004927,9.781365115064329,7,100.00000000000054,True
BTC_1d_mean_reversion,BTC,1d,mean_reversion,5,validation,-2.2458605749136153,5.227429971389365,7,100.00000000000088,False
BTC_1d_mean_reversion,BTC,1d,mean_reversion,5,holdout,-3.6379698551979227,7.85413462770867,7,100.00000000000331,True
BTC_1d_mean_reversion,BTC,1d,mean_reversion,6,validation,-7.93845171228179,10.036362203826387,7,99.99999999999946,False
BTC_1d_mean_reversion,BTC,1d,mean_reversion,6,holdout,5.8950692441168036,3.3041724484213657,1,99.99999999999852,True
BTC_1d_grid,BTC,1d,grid,0,validation,1.7102742453572775,0.7205069258379591,1,100.00000000000043,False
BTC_1d_grid,BTC,1d,grid,0,holdout,0.0,0.0,0,0.0,False
BTC_1d_grid,BTC,1d,grid,1,validation,0.0,0.0,0,0.0,False
BTC_1d_grid,BTC,1d,grid,1,holdout,-0.7400429733878127,1.6773828027309534,4,99.9999999999956,True
BTC_1d_grid,BTC,1d,grid,2,validation,0.0,0.0,0,0.0,False
BTC_1d_grid,BTC,1d,grid,2,holdout,0.0,0.0,0,0.0,False
BTC_1d_grid,BTC,1d,grid,3,validation,0.0,0.0,0,0.0,False
BTC_1d_grid,BTC,1d,grid,3,holdout,0.0,0.0,0,0.0,False
BTC_1d_grid,BTC,1d,grid,4,validation,0.0,0.0,0,0.0,False
