asset,bh_max_drawdown_pct,bh_return_pct,calmar_like,candle_count,cost_drag_pct,data_ok,drawdown_reduction_vs_bh,fee_bps,max_drawdown_pct,overlay,risk_adjusted_alpha,run_id,sharpe_ratio,strategy,time_in_market_pct,timeframe,total_return_pct,trade_count,turnover_ratio,ulcer_index,variant
BTC,14.8761,-5.149,-0.5673,1831,99.99999999999922,True,13.8683,40.0,1.0077921608384812,panic,4.5418,BTC_1d_atr_breakout_slow_panic,-0.34090364762680353,atr_breakout,4.94,1d,-0.5717384588109099,4,0.9973,0.7826,slow
BTC,14.8761,-5.149,-0.5392,1831,100.00000000000402,True,13.8683,40.0,1.007792160838473,both,4.57,BTC_1d_atr_breakout_slow_both,-0.3247433517401111,atr_breakout,4.94,1d,-0.5433759679906075,4,0.9493,0.7813,slow
BTC,14.8761,-5.149,-0.068,1831,99.99999999999709,True,6.7543,40.0,8.121818520666606,off,0.566,BTC_1d_atr_breakout_fast_off,-0.02774944715436633,atr_breakout,43.36,1d,-0.5520248337248177,2,0.4967,5.1801,fast
BTC,14.8761,-5.149,-0.6327,1831,100.00000000000202,True,13.8683,40.0,1.007792160838473,vol,4.4765,BTC_1d_atr_breakout_fast_vol,-0.38126799039875886,atr_breakout,4.81,1d,-0.6376301351889878,6,1.2469,0.7863,fast
BTC,14.8761,-5.149,-0.6065,1831,99.99999999999913,True,13.8683,40.0,1.0077921608384806,panic,4.5026,BTC_1d_atr_breakout_fast_panic,-0.3647086011755023,atr_breakout,5.17,1d,-0.6112422660978837,6,1.1221,0.7847,fast
BTC,14.8761,-5.149,-0.5626,1831,99.99999999999876,True,13.8683,40.0,1.0077921608384788,both,4.5466,BTC_1d_atr_breakout_fast_both,-0.33901254267733527,atr_breakout,5.17,1d,-0.5669395097902225,6,1.0237,0.7824,fast
BTC,14.8761,-5.149,-0.2887,1831,100.00000000000159,True,1.9626,40.0,12.913501688163908,off,0.11,BTC_1d_trend_following_baseline_off,-0.28348361725243504,trend_following,64.14,1d,-3.728472292166418,7,1.6687,6.389,baseline
BTC,14.8761,-5.149,-0.1959,1831,100.00000000000007,True,6.1497,40.0,8.726379860961606,vol,0.3941,BTC_1d_trend_following_baseline_vol,-0.16043093049575005,trend_following,51.67,1d,-1.709665637671651,11,2.3902,4.0089,baseline
BTC,14.8761,-5.149,-0.1201,1831,99.99999999999993,True,8.8173,40.0,6.058772171580115,panic,0.7297,BTC_1d_trend_following_baseline_panic,-0.08770207976451964,trend_following,42.25,1d,-0.727857562750205,33,4.2135,3.2068,baseline
BTC,14.8761,-5.149,-0.1897,1831,99.99999999999929,True,9.0207,40.0,5.855415411332087,both,0.6896,BTC_1d_trend_following_baseline_both,-0.14884160777134037,trend_following,42.02,1d,-1.110935150822911,35,4.3293,3.1574,baseline
BTC,14.8761,-5.149,-0.0995,1831,99.9999999999957,True,2.7519,40.0,12.1241779955423,off,0.3252,BTC_1d_trend_following_slow_off,-0.0731343002248202,trend_following,62.64,1d,-1.205838175059773,5,1.1918,6.0269,slow
BTC,14.8761,-5.149,-0.0673,1831,99.99999999999821,True,5.8344,40.0,9.041700979802313,vol,0.5022,BTC_1d_trend_following_slow_vol,-0.0495586083146017,trend_following,50.8,1d,-0.6086031272797527,7,1.5427,4.2579,slow
BTC,14.8761,-5.149,-0.0618,1831,99.99999999999959,True,4.9505,40.0,9.925596009242751,panic,0.457,BTC_1d_trend_following_slow_panic,-0.026809907553936353,trend_following,59.91,1d,-0.6132479813355758,13,2.2043,5.4673,slow
BTC,14.8761,-5.149,-0.2835,1831,100.00000000000216,True,7.9897,40.0,6.886434084076617,both,0.4642,BTC_1d_trend_following_slow_both,-0.24700298119778977,trend_following,42.6,1d,-1.9523997545381464,31,4.7547,3.8603,slow
BTC,14.8761,-5.149,-0.2909,1831,99.99999999999912,True,3.09,40.0,11.786127502753677,off,0.146,BTC_1d_trend_following_fast_off,-0.2664574082157909,trend_following,62.09,1d,-3.428630828994016,7,1.6853,6.0506,fast
BTC,14.8761,-5.149,-0.1523,1831,100.00000000000293,True,7.6963,40.0,7.179825982681898,vol,0.5649,BTC_1d_trend_following_fast_vol,-0.10167780498197945,trend_following,52.94,1d,-1.093280954368072,9,1.8369,3.5332,fast
BTC,14.8761,-5.149,0.0427,1831,99.99999999999922,True,11.9097,40.0,2.9664336084600498,panic,1.7784,BTC_1d_trend_following_fast_panic,0.03814361692106909,trend_following,39.33,1d,0.1265872294444989,33,3.8835,1.3996,fast
BTC,14.8761,-5.149,-0.0906,1831,100.00000000000139,True,12.1857,40.0,2.6904129753138197,both,1.8232,BTC_1d_trend_following_fast_both,-0.042632767896868866,trend_following,39.1,1d,-0.24372532849968137,35,3.9431,1.3531,fast
BTC,3.1836,3.3301,0.0194,6603,99.99999999999952,True,0.8034,40.0,2.3802408441192076,off,-1.3797,BTC_4h_ema_crossover_baseline_off,0.06354715652233316,ema_crossover,67.26,4h,0.046084496831019804,12,2.4122,1.1635,baseline
BTC,3.1836,3.3301,0.0199,6603,99.99999999999683,True,0.8034,40.0,2.3802408441192147,vol,-1.3791,BTC_4h_ema_crossover_baseline_vol,0.06452165567500535,ema_crossover,67.26,4h,0.04745265601650317,12,2.411,1.1634,baseline
BTC,3.1836,3.3301,-0.8571,6603,99.99999999999906,True,0.1026,40.0,3.080992759284935,panic,-1.938,BTC_4h_ema_crossover_baseline_panic,-3.1343379660837143,ema_crossover,40.45,4h,-2.6408207420404435,50,6.0402,1.3752,baseline
BTC,3.1836,3.3301,-0.8571,6603,99.99999999999906,True,0.1026,40.0,3.080992759284935,both,-1.938,BTC_4h_ema_crossover_baseline_both,-3.1343379660837143,ema_crossover,40.45,4h,-2.6408207420404435,50,6.0402,1.3752,baseline
BTC,3.1836,3.3301,1.3275,6603,100.00000000000107,True,1.2259,40.0,1.9576985420911797,off,-0.3735,BTC_4h_ema_crossover_slow_off,1.824786965353614,ema_crossover,69.93,4h,2.5988543981666905,6,1.2435,0.84,slow
BTC,3.1836,3.3301,1.3275,6603,100.00000000000107,True,1.2259,40.0,1.9576985420911797,vol,-0.3735,BTC_4h_ema_crossover_slow_vol,1.824786965353614,ema_crossover,69.93,4h,2.5988543981666905,6,1.2435,0.84,slow
BTC,3.1836,3.3301,-0.8583,6603,100.00000000000024,True,0.2531,40.0,2.9304901370529945,panic,-1.9946,BTC_4h_ema_crossover_slow_panic,-2.942443130698543,ema_crossover,43.05,4h,-2.515107139730651,52,6.2306,1.3328,slow
BTC,3.1836,3.3301,-0.8583,6603,100.00000000000024,True,0.2531,40.0,2.9304901370529945,both,-1.9946,BTC_4h_ema_crossover_slow_both,-2.942443130698543,ema_crossover,43.05,4h,-2.515107139730651,52,6.2306,1.3328,slow
BTC,3.1836,3.3301,-0.592,6603,99.99999999999748,True,-0.7771,40.0,3.960672722251445,off,-1.4328,BTC_4h_ema_crossover_fast_off,-1.6648469828997674,ema_crossover,63.62,4h,-2.344863517367105,14,2.7332,2.1013,fast
BTC,3.1836,3.3301,-0.5849,6603,100.00000000000011,True,-0.7092,40.0,3.8928122024536473,vol,-1.4403,BTC_4h_ema_crossover_fast_vol,-1.6199882784359254,ema_crossover,63.62,4h,-2.276860545405657,14,2.7192,2.0399,fast
BTC,3.1836,3.3301,-0.8962,6603,99.99999999999807,True,0.4413,40.0,2.742307473424974,panic,-2.1105,BTC_4h_ema_crossover_fast_panic,-2.9632089972885005,ema_crossover,37.98,4h,-2.457543466565653,40,5.1465,1.2991,fast
BTC,3.1836,3.3301,-0.8962,6603,99.99999999999807,True,0.4413,40.0,2.742307473424974,both,-2.1105,BTC_4h_ema_crossover_fast_both,-2.9632089972885005,ema_crossover,37.98,4h,-2.457543466565653,40,5.1465,1.2991,fast
BTC,3.1836,3.3301,0.2435,6603,100.00000000000226,True,-0.0519,40.0,3.235534218840623,off,-0.7858,BTC_4h_donchian_breakout_baseline_off,0.5606009352694873,donchian_breakout,65.89,4h,0.7877878657687347,8,1.6104,1.6013,baseline
BTC,3.1836,3.3301,0.0755,6603,100.00000000000071,True,-0.0093,40.0,3.192881031413593,vol,-0.9675,BTC_4h_donchian_breakout_baseline_vol,0.2011816299637898,donchian_breakout,64.53,4h,0.24108011464063564,8,1.5984,1.5722,baseline
BTC,3.1836,3.3301,-1.0,6603,99.99999999999979,True,0.3978,40.0,2.7857856424923853,panic,-2.1954,BTC_4h_donchian_breakout_baseline_panic,-3.489248013533325,donchian_breakout,32.13,4h,-2.7857856424923853,20,3.2463,1.4185,baseline
BTC,3.1836,3.3301,-1.0,6603,99.99999999999979,True,0.3978,40.0,2.7857856424923853,both,-2.1954,BTC_4h_donchian_breakout_baseline_both,-3.489248013533325,donchian_breakout,32.13,4h,-2.7857856424923853,20,3.2463,1.4185,baseline
BTC,3.1836,3.3301,-0.209,6603,99.99999999999861,True,-0.546,40.0,3.729656060493057,off,-1.1019,BTC_4h_donchian_breakout_slow_off,-0.5436819461761179,donchian_breakout,58.81,4h,-0.7795782024598339,8,1.5825,1.9264,slow
BTC,3.1836,3.3301,-0.209,6603,99.99999999999861,True,-0.546,40.0,3.729656060493057,vol,-1.1019,BTC_4h_donchian_breakout_slow_vol,-0.5436819461761179,donchian_breakout,59.19,4h,-0.7795782024598339,8,1.5825,1.9264,slow
BTC,3.1836,3.3301,-0.7713,6603,99.99999999999929,True,1.011,40.0,2.1726095752911965,panic,-2.3041,BTC_4h_donchian_breakout_slow_panic,-2.4198886035874376,donchian_breakout,29.89,4h,-1.6758248743983473,12,1.8784,1.1746,slow
BTC,3.1836,3.3301,-0.7713,6603,99.99999999999929,True,1.011,40.0,2.1726095752911965,both,-2.3041,BTC_4h_donchian_breakout_slow_both,-2.4198886035874376,donchian_breakout,29.89,4h,-1.6758248743983473,12,1.8784,1.1746,slow
