asset,timeframe,strategy,verdict,total_return_pct,trade_count,cost_drag_pct
ETH,4h,atr_breakout,blocked_costs,-0.6218465213039395,68,100.00000000000031
ETH,1h,trend_following,blocked_costs,-8.996404019255237,166,100.00000000000058
ETH,1h,breakout,blocked_costs,-5.650390369871093,170,99.99999999999999
ETH,1h,mean_reversion,blocked_risk,-14.575435359267717,248,100.00000000000054
ETH,1h,grid,blocked_costs,-1.2731889497108113,23,99.99999999999977
ETH,1h,ema_crossover,blocked_risk,-11.624101144705287,174,100.00000000000068
ETH,1h,donchian_breakout,blocked_costs,-6.201729546777961,170,99.99999999999899
ETH,1h,rsi_mean_reversion,blocked_risk,-14.891308198622678,214,99.99999999999974
ETH,1h,bollinger_mean_reversion,blocked_risk,-14.940021134980611,250,99.99999999999974
ETH,1h,atr_breakout,blocked_costs,-5.109439380546519,110,99.99999999999946
SOL,1d,trend_following,insufficient_trades,31.308432735723773,1,100.00000000000104
SOL,1d,breakout,insufficient_trades,32.6996098084041,1,100.00000000000104
SOL,1d,mean_reversion,insufficient_trades,53.337531312924234,3,99.99999999999628
SOL,1d,grid,insufficient_trades,41.21793433821013,2,100.00000000000757
SOL,1d,ema_crossover,insufficient_trades,23.45016690438938,3,99.99999999999791
SOL,1d,donchian_breakout,insufficient_trades,32.6996098084041,1,100.00000000000104
SOL,1d,rsi_mean_reversion,insufficient_trades,64.51529200445445,3,99.99999999999966
SOL,1d,bollinger_mean_reversion,insufficient_trades,53.337531312924234,3,99.99999999999628
SOL,1d,atr_breakout,insufficient_trades,14.570063812557214,1,99.99999999999852
SOL,4h,trend_following,insufficient_trades,58.78298642001071,9,100.00000000000048
SOL,4h,breakout,blocked_risk,59.169807792118554,13,100.00000000000338
SOL,4h,mean_reversion,blocked_risk,-10.833826195489848,208,100.00000000000064
SOL,4h,grid,insufficient_trades,-3.38125956196925,8,100.0000000000023
SOL,4h,ema_crossover,blocked_risk,60.17822814824133,15,99.99999999999983
SOL,4h,donchian_breakout,blocked_risk,59.169807792118554,13,100.00000000000338
SOL,4h,rsi_mean_reversion,blocked_risk,-10.353869955051687,160,99.99999999999987
SOL,4h,bollinger_mean_reversion,blocked_risk,-11.871400919499148,237,99.99999999999953
SOL,4h,atr_breakout,blocked_costs,-6.558992705420668,68,99.99999999999886
SOL,1h,trend_following,blocked_costs,-7.3245553689159015,174,99.99999999999879
SOL,1h,breakout,blocked_risk,-11.10817772215746,143,99.99999999999943
SOL,1h,mean_reversion,blocked_risk,-13.843876874522199,212,99.99999999999996
SOL,1h,grid,blocked_costs,-1.8222484123555889,26,100.00000000000082
SOL,1h,ema_crossover,blocked_risk,-7.901153937666481,152,100.00000000000095
SOL,1h,donchian_breakout,blocked_risk,-12.094238267190486,139,99.99999999999945
SOL,1h,rsi_mean_reversion,blocked_risk,-14.194469029160894,212,100.00000000000004
SOL,1h,bollinger_mean_reversion,blocked_risk,-14.451412020345492,284,99.99999999999989
SOL,1h,atr_breakout,blocked_costs,-5.567077115037989,86,100.00000000000023
