asset,cost_drag_pct,data_ok,fee_bps,fees_usd,max_drawdown_pct,risk_denial_rate,risk_denials_count,risk_rules_triggered,sharpe_ratio,slippage_bps,slippage_drag_usd,stopped_by_risk,strategy,strategy_family,timeframe,total_return_pct,trade_count,turnover_ratio,verdict,verdict_reasons
ETH,100.00000000000047,True,40.0,4.652126755777484,37.53533180545161,0.9972,1775,"['max_drawdown_pct', 'max_position_fraction']",0.08764662456591932,5.0,0.5814444164393251,True,mean_reversion,rsi_bollinger_mr,1d,-0.8674449825551505,5,1.163,blocked_risk,"['max_drawdown_pct=37.54', 'risk_denial_rate=99.72%', 'safety_stop']"
ETH,99.99999999999683,True,40.0,4.046576425046039,21.8027593081188,0.0909,1,['max_position_fraction'],0.11238684046906582,5.0,0.5057846417476952,False,grid,grid,1d,4.703949528043881,10,1.0116,blocked_risk,['max_drawdown_pct=21.80']
ETH,100.00000000000608,True,40.0,1.0004999999999997,32.59933440276795,0.9989,917,"['max_drawdown_pct', 'max_position_fraction']",0.06075208308084218,5.0,0.12499999999994316,True,ema_crossover,trend_ema_donchian,1d,-1.9570894413543785,1,0.2501,insufficient_trades,['trade_count=1 < 5']
ETH,100.00000000000104,True,40.0,1.0005,31.298207817577296,0.9848,65,"['max_drawdown_pct', 'max_position_fraction']",0.04165456235414411,5.0,0.125,True,donchian_breakout,trend_ema_donchian,1d,-3.4838499784711305,1,0.2501,insufficient_trades,['trade_count=1 < 5']
ETH,100.00000000000074,True,40.0,2.9921371192094983,36.401663901539564,0.9983,1779,"['max_drawdown_pct', 'max_position_fraction']",0.110436746133411,5.0,0.3739545507158937,True,rsi_mean_reversion,rsi_bollinger_mr,1d,2.678020678913549,3,0.748,insufficient_trades,['trade_count=3 < 5']
ETH,99.99999999999929,True,40.0,18.974482616885485,36.940760129436626,0.9845,1338,"['max_drawdown_pct', 'max_position_fraction']",0.14295658943670603,5.0,2.371727397437354,True,bollinger_mean_reversion,rsi_bollinger_mr,1d,6.406125990674832,21,4.7436,blocked_risk,"['max_drawdown_pct=36.94', 'risk_denial_rate=98.45%', 'safety_stop']"
ETH,100.00000000000111,True,40.0,8.703280488529254,29.694574735203496,0.99,892,"['max_drawdown_pct', 'max_position_fraction']",0.07473498712973076,5.0,1.0878413802334705,True,atr_breakout,breakout_atr,1d,0.3635724254230809,9,2.1758,blocked_risk,"['max_drawdown_pct=29.69', 'risk_denial_rate=99.00%', 'safety_stop']"
ETH,99.99999999999935,True,40.0,52.34942360002013,22.293072467052415,0.9564,1403,"['max_drawdown_pct', 'max_position_fraction']",-0.005534161329817119,5.0,6.543689721594859,True,trend_following,trend_ema_donchian,4h,-1.1806740988652222,64,13.0874,blocked_risk,"['max_drawdown_pct=22.29', 'risk_denial_rate=95.64%', 'safety_stop']"
ETH,100.00000000000159,True,40.0,70.21975925308398,22.12222308584408,0.4724,77,"['max_daily_loss_pct', 'max_drawdown_pct', 'max_position_fraction']",0.0319171867598179,5.0,8.77748778024278,True,breakout,breakout_atr,4h,-0.7502813451207203,86,17.5549,blocked_risk,"['max_drawdown_pct=22.12', 'risk_denial_rate=47.24%', 'safety_stop']"
ETH,99.99999999999996,True,40.0,85.74212796636765,15.79238827082396,0.7667,368,['max_drawdown_pct'],-1.1550018940829538,5.0,10.717754757773804,True,mean_reversion,rsi_bollinger_mr,4h,-14.141196667696146,112,21.4355,blocked_risk,"['max_drawdown_pct=15.79', 'risk_denial_rate=76.67%', 'safety_stop']"
