bar_index,breakout_pressure,close,drawdown_from_high,long_ma,moving_average_slope,position_scale,range_score,realized_vol,reason,regime,run_id,selected_strategy,trend_strength,volatility_percentile,volume_zscore
343,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
344,,,,,,1.0,,,range_score=0.1906,range,SOL_1d_regime_router,grid,,,
345,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
360,,,,,,0.0,,,panic_cash,panic,SOL_1d_regime_router,cash,,,
380,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
396,,,,,,0.0,,,panic_cash,panic,SOL_1d_regime_router,cash,,,
401,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
402,,,,,,0.0,,,panic_cash,panic,SOL_1d_regime_router,cash,,,
412,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
419,,,,,,1.0,,,range_score=0.2465,range,SOL_1d_regime_router,grid,,,
420,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
424,,,,,,1.0,,,range_score=0.2568,range,SOL_1d_regime_router,grid,,,
426,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
431,,,,,,1.0,,,slope=0.0016 trend=0.1485,trend_up,SOL_1d_regime_router,trend_following,,,
432,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
433,,,,,,1.0,,,slope=0.0009 trend=0.0809,trend_up,SOL_1d_regime_router,trend_following,,,
435,,,,,,1.0,,,range_score=0.3326,range,SOL_1d_regime_router,grid,,,
437,,,,,,1.0,,,slope=0.0005 trend=0.0895,trend_up,SOL_1d_regime_router,trend_following,,,
459,,,,,,1.0,,,range_score=0.2039,range,SOL_1d_regime_router,grid,,,
460,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
484,,,,,,1.0,,,range_score=0.1870,range,SOL_1d_regime_router,grid,,,
485,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
506,,,,,,1.0,,,range_score=0.1009,range,SOL_1d_regime_router,grid,,,
507,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
508,,,,,,1.0,,,range_score=0.1031,range,SOL_1d_regime_router,grid,,,
510,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
511,,,,,,1.0,,,range_score=0.1045,range,SOL_1d_regime_router,grid,,,
512,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
530,,,,,,1.0,,,range_score=0.1531,range,SOL_1d_regime_router,grid,,,
531,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
534,,,,,,1.0,,,range_score=0.1531,range,SOL_1d_regime_router,grid,,,
535,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
537,,,,,,1.0,,,slope=0.0004 trend=0.0606,trend_up,SOL_1d_regime_router,trend_following,,,
539,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
542,,,,,,0.0,,,panic_cash,panic,SOL_1d_regime_router,cash,,,
563,,,,,,0.0,,,unknown_hold,unknown,SOL_1d_regime_router,cash,,,
