asset,cost_drag_pct,data_ok,fee_bps,fees_usd,grid_key,max_drawdown_pct,risk_denial_rate,risk_denials_count,risk_rules_triggered,sharpe_ratio,slippage_bps,slippage_drag_usd,stopped_by_risk,strategy,strategy_family,timeframe,total_return_pct,trade_count,turnover_ratio,verdict,verdict_reasons
ETH,100.0,True,10.0,0.25,fee10_slip0,30.198010106961178,0.9989,922,"['max_drawdown_pct', 'max_position_fraction']",0.02593672261611336,0.0,0.0,True,trend_following,trend_ema_donchian,1d,-4.6003050523029065,1,0.25,insufficient_trades,['trade_count=1 < 5']
ETH,100.0,True,10.0,0.25,fee10_slip0,31.276074186974295,0.9848,65,"['max_drawdown_pct', 'max_position_fraction']",0.04240744317727183,0.0,0.0,True,breakout,breakout_atr,1d,-3.39629997847112,1,0.25,insufficient_trades,['trade_count=1 < 5']
ETH,99.99999999999957,True,10.0,1.164487885976309,fee10_slip0,37.512234125430474,0.9972,1775,"['max_drawdown_pct', 'max_position_fraction']",0.09069549551475,0.0,0.0,True,mean_reversion,rsi_bollinger_mr,1d,-0.44518751141370105,5,1.1645,blocked_risk,"['max_drawdown_pct=37.51', 'risk_denial_rate=99.72%', 'safety_stop']"
ETH,100.00000000004367,True,10.0,1.013053954174085,fee10_slip0,21.797248314194906,0.0909,1,['max_position_fraction'],0.1169110966561372,0.0,0.0,False,grid,grid,1d,5.088720977839671,10,1.0131,blocked_risk,['max_drawdown_pct=21.80']
ETH,100.0,True,10.0,0.25,fee10_slip0,32.57690506237347,0.9989,917,"['max_drawdown_pct', 'max_position_fraction']",0.06145988892890535,0.0,0.0,True,ema_crossover,trend_ema_donchian,1d,-1.8695394413543909,1,0.25,insufficient_trades,['trade_count=1 < 5']
ETH,100.0,True,10.0,0.25,fee10_slip0,31.276074186974295,0.9848,65,"['max_drawdown_pct', 'max_position_fraction']",0.04240744317727183,0.0,0.0,True,donchian_breakout,trend_ema_donchian,1d,-3.39629997847112,1,0.25,insufficient_trades,['trade_count=1 < 5']
ETH,100.00000000000774,True,10.0,0.7483455312014383,fee10_slip0,36.378656223111705,0.9983,1779,"['max_drawdown_pct', 'max_position_fraction']",0.11236116600054057,0.0,0.0,True,rsi_mean_reversion,rsi_bollinger_mr,1d,2.9452906939625336,3,0.7483,insufficient_trades,['trade_count=3 < 5']
ETH,100.00000000000104,True,10.0,4.746857149155339,fee10_slip0,36.923232962667655,0.9845,1336,"['max_drawdown_pct', 'max_position_fraction']",0.1406127631507887,0.0,0.0,True,bollinger_mean_reversion,rsi_bollinger_mr,1d,6.072006502700311,21,4.7469,blocked_risk,"['max_drawdown_pct=36.92', 'risk_denial_rate=98.45%', 'safety_stop']"
ETH,99.99999999999282,True,10.0,2.182339937516374,fee10_slip0,29.676445317610334,0.99,892,"['max_drawdown_pct', 'max_position_fraction']",0.08218838278723911,0.0,0.0,True,atr_breakout,breakout_atr,1d,1.1472383699143394,9,2.1823,blocked_risk,"['max_drawdown_pct=29.68', 'risk_denial_rate=99.00%', 'safety_stop']"
ETH,100.00000000000833,True,10.0,20.937979860844887,fee10_slip0,15.53733585475954,0.8336,491,"['max_daily_loss_pct', 'max_drawdown_pct', 'max_position_fraction']",0.43494600121560045,0.0,0.0,True,trend_following,trend_ema_donchian,4h,13.346485841382197,98,20.938,blocked_risk,"['max_drawdown_pct=15.54', 'risk_denial_rate=83.36%', 'safety_stop']"
ETH,99.99999999999874,True,10.0,24.348923520053095,fee10_slip0,20.017434595675674,0.1986,29,"['max_drawdown_pct', 'max_position_fraction']",-0.003398153353227531,0.0,0.0,True,breakout,breakout_atr,4h,-1.5353168699305684,117,24.3489,blocked_risk,"['max_drawdown_pct=20.02', 'safety_stop']"
ETH,100.0000000000006,True,10.0,45.497480945805755,fee10_slip0,15.135659859257144,0.0,0,[],-0.2684224235555402,0.0,0.0,False,mean_reversion,rsi_bollinger_mr,4h,-6.551816145261205,235,45.4975,blocked_risk,['max_drawdown_pct=15.14']
ETH,99.99999999999358,True,10.0,0.8498931222587226,fee10_slip0,14.220404360907619,0.0,0,[],0.10835710183325631,0.0,0.0,False,grid,grid,4h,1.7402841405706,9,0.8499,insufficient_trades,['trade_count=9 < 10']
ETH,99.99999999999898,True,10.0,24.812917347702385,fee10_slip0,15.993900314967814,0.8448,653,"['max_daily_loss_pct', 'max_drawdown_pct', 'max_position_fraction']",0.19425198152857096,0.0,0.0,True,ema_crossover,trend_ema_donchian,4h,4.808791609894978,120,24.8129,blocked_risk,"['max_drawdown_pct=15.99', 'risk_denial_rate=84.48%', 'safety_stop']"
ETH,100.00000000000074,True,10.0,21.147207158429108,fee10_slip0,19.36098553455969,0.3061,45,"['max_daily_loss_pct', 'max_drawdown_pct', 'max_position_fraction']",0.1073941564912696,0.0,0.0,True,donchian_breakout,trend_ema_donchian,4h,1.7507869305076837,102,21.1472,blocked_risk,"['max_drawdown_pct=19.36', 'risk_denial_rate=30.61%', 'safety_stop']"
ETH,99.99999999999972,True,10.0,36.30919756300387,fee10_slip0,19.318405060678963,0.7719,660,['max_drawdown_pct'],-0.617061668597183,0.0,0.0,True,rsi_mean_reversion,rsi_bollinger_mr,4h,-14.035097472227106,195,36.3092,blocked_risk,"['max_drawdown_pct=19.32', 'risk_denial_rate=77.19%', 'safety_stop']"
ETH,100.0000000000013,True,10.0,41.296514645684134,fee10_slip0,18.886271126736634,0.7635,681,['max_drawdown_pct'],-0.5224603643139026,0.0,0.0,True,bollinger_mean_reversion,rsi_bollinger_mr,4h,-12.024580700111391,211,41.2965,blocked_risk,"['max_drawdown_pct=18.89', 'risk_denial_rate=76.35%', 'safety_stop']"
ETH,100.00000000000023,True,10.0,13.87970198945462,fee10_slip0,0.786602136782346,0.0,0,[],0.9351240024391417,0.0,0.0,False,atr_breakout,breakout_atr,4h,4.240348146078668,68,13.8797,blocked_costs,['cost_drag_pct=100.00']
ETH,99.9999999999973,True,10.0,25.33479499714042,fee10_slip0,10.400033591990306,0.0,0,[],-0.014985058888365392,0.0,0.0,False,trend_following,trend_ema_donchian,1h,-0.6995509894527686,166,25.3348,blocked_costs,['cost_drag_pct=100.00']
ETH,100.00000000000178,True,10.0,26.143552965114974,fee10_slip0,8.839677469233518,0.0,0,[],0.27197741491225225,0.0,0.0,False,breakout,breakout_atr,1h,3.1780266792543213,170,26.1436,blocked_costs,['cost_drag_pct=100.00']
ETH,100.00000000000406,True,10.0,52.5660402332911,fee10_slip0,9.77622433373177,0.0055,2,['max_trades_per_day'],-0.5179780432245005,0.0,0.0,False,mean_reversion,rsi_bollinger_mr,1h,-6.352817292581994,360,52.566,blocked_costs,['cost_drag_pct=100.00']
ETH,100.00000000001505,True,10.0,1.4322946779959576,fee10_slip0,11.402044174323347,0.0,0,[],-0.03465868906839755,0.0,0.0,False,grid,grid,1h,-0.7629383028555708,23,1.4323,blocked_costs,['cost_drag_pct=100.00']
ETH,99.99999999999666,True,10.0,30.954766375579414,fee10_slip0,12.760331250231188,0.0,0,[],-0.5106202133471678,0.0,0.0,False,ema_crossover,trend_ema_donchian,1h,-7.1985860932306185,210,30.9548,blocked_costs,['cost_drag_pct=100.00']
ETH,100.00000000000291,True,10.0,26.066751744492837,fee10_slip0,8.96076311936099,0.0,0,[],0.2260990007726672,0.0,0.0,False,donchian_breakout,trend_ema_donchian,1h,2.5736265308193653,170,26.0668,blocked_costs,['cost_drag_pct=100.00']
ETH,99.9999999999982,True,10.0,86.23892285450759,fee10_slip0,13.465104664848015,0.0,0,[],-1.0641178333893273,0.0,0.0,False,rsi_mean_reversion,rsi_bollinger_mr,1h,-12.432202368604418,614,86.2389,blocked_costs,['cost_drag_pct=100.00']
ETH,100.00000000000104,True,10.0,96.69996968814142,fee10_slip0,13.290218710349643,0.0,0,[],-1.0375396136114958,0.0,0.0,False,bollinger_mean_reversion,rsi_bollinger_mr,1h,-11.935985555365324,678,96.7,blocked_costs,['cost_drag_pct=100.00']
ETH,100.0000000000002,True,10.0,16.59852881672842,fee10_slip0,0.7947830414892748,0.0,0,[],0.26123088692409013,0.0,0.0,False,atr_breakout,breakout_atr,1h,0.5419903858306043,110,16.5985,blocked_costs,['cost_drag_pct=100.00']
SOL,100.0,True,10.0,0.25,fee10_slip0,66.99836422201179,0.9989,907,"['max_drawdown_pct', 'max_position_fraction']",0.28234566589516985,0.0,0.0,True,trend_following,trend_ema_donchian,1d,31.39598273572378,1,0.25,insufficient_trades,['trade_count=1 < 5']
SOL,100.0,True,10.0,0.25,fee10_slip0,67.49218799625612,0.9867,74,['max_drawdown_pct'],0.287240039694961,0.0,0.0,True,breakout,breakout_atr,1d,32.78715980840411,1,0.25,insufficient_trades,['trade_count=1 < 5']
SOL,100.00000000000719,True,10.0,0.7461266900150432,fee10_slip0,73.43149428032115,0.9983,1780,"['max_drawdown_pct', 'max_position_fraction']",0.34861509475033936,0.0,0.0,True,mean_reversion,rsi_bollinger_mr,1d,53.6929110697758,3,0.7461,insufficient_trades,['trade_count=3 < 5']
